#f [hz]     Spannung [Volt]     a [ms]     b [ms]

#10      	11                 40         1000                         0.251
500     	1.375               6          19.8                 1.904
1000    	0.625               3          10                   1.885
1500    	0.4                 1.9        6.5                  1.837
2000    	0.3                 1.25       4.9                      1.603
2500    	0.235               1.1        3.85                     1.795
3000    	0.2                 0.85       3.2                      1.669
3500    	0.16                0.7        2.8                      1.571
4000    	0.1425              0.6        2.4                      1.571
4500    	0.125               0.5        2.1                      1.496
5000    	0.1125              0.48       1.92                         1.571
5500    	0.1025              0.44       1.76                         1.571
6000    	0.095               0.4        1.6                      1.571
6500    	0.0875              0.36       1.43                         1.582
7000    	0.0825              0.32       1.34                         1.500
7500    	0.075               0.31       1.3                      1.498
8000    	0.071               0.3        1.23                     1.532
8500    	0.068               0.29       1.16                     1.571
9000    	0.064               0.26       1.04                     1.571
9500    	0.06                0.25       1.03                     1.526
10000   	0.058               0.23       1                        1.445
